2to3	python2-basic
dracut-catimages	sysadmin-basic
dragon	desktop-kde-apps
draw_lib_dependencies	desktop-kde-apps
driverless	hardware-printing
dropdb	postgresql
droplang	postgresql
dropuser	postgresql
dstat	performance-tools
dsymutil	llvm
dsync	dovecot
dt2dv	texlive
dtagnames	dev-utils
dtc	dtc
dtd2rng	mono
dtd2xsd	mono
dtdiff	dtc
dtest	hpc-utils
dtestcm	hpc-utils
dtestsrq	hpc-utils
dtestx	hpc-utils
dtxgen	texlive
du	os-core
dul-receive-pack	openstack-common
dul-upload-pack	openstack-common
dulwich	openstack-common
dumbbench	perl-extras
dump.f2fs	os-testsuite-0day
dump_fts	hpc-utils
dump_lfts.sh	hpc-utils
dump_mfts.sh	hpc-utils
dumpcap	wireshark
dumpe2fs	storage-utils
dumpkeys	kbd
dumpmscat	samba
dumpsexp	os-core-dev
dumpsolv	devpkg-libsolv
dumresp	pdns
duperemove	duperemove
dv2dt	texlive
dvb-fe-tool	v4l-utils
dvb-format-convert	v4l-utils
dvbv5-daemon	v4l-utils
dvbv5-scan	v4l-utils
dvbv5-zap	v4l-utils
dvi2fax	texlive
dvi2tty	texlive
dviasm	texlive
dvibook	texlive
dviconcat	texlive
dvicopy	texlive
dvidvi	texlive
dvigif	texlive
dvihp	texlive
dviinfox	texlive
dvilj	texlive
dvilj2p	texlive
dvilj4	texlive
dvilj4l	texlive
dvilj6	texlive
dvilualatex	texlive
dviluatex	texlive
dvipdf	desktop
dvipdfm	texlive
dvipdfmx	texlive
dvipdft	texlive
dvipng	texlive
dvipos	texlive
dvips	texlive
dvired	texlive
dviselect	texlive
dvitodvi	texlive
dvitomp	texlive
dvitype	texlive
dwebp	devpkg-libwebp
dwp	binutils
dwspeak.sh	amateur-radio
dynamodb_dump	cloud-api
dynamodb_load	cloud-api
dyskctl	os-cloudguest-azure
e2freefrag	storage-utils
e2fsck	os-core
e2image	storage-utils
e2label	os-core
e2mmpstatus	os-core
e2pall	texlive
e2undo	storage-utils
e4crypt	os-core
e4defrag	storage-utils
easy_install	python3-basic
easy_install-3.7	python3-basic
easyaccess-test	devpkg-exiv2
ebb	texlive
ebong	texlive
ebrowse	emacs
ebtables	iptables
ebtables-nft	iptables
ebtables-nft-restore	iptables
ebtables-nft-save	iptables
ebtables-restore	iptables
ebtables-save	iptables
echo	os-core
ecpg	postgresql
ed	dev-utils-dev
edgepaint	graphviz
editcap	wireshark
editdiff	dev-utils
efi-readvar	os-clr-on-clr
efi-updatevar	os-clr-on-clr
efibootdump	sysadmin-basic
efibootmgr	sysadmin-basic
efikeygen	os-clr-on-clr
efisiglist	os-clr-on-clr
efitool-mkusb	os-clr-on-clr
efivar	os-core-update-dev
egrep	os-core
eject	os-core
elbadmin	cloud-api
elfedit	binutils
elinks	network-basic
elixir	openstack-common
elixirc	openstack-common
emacs	emacs
emacs-26.2	emacs
emacsclient	emacs
enc2xs	perl-basic
encguess	perl-basic
enchant	devpkg-compat-enchant-soname1
enchant-2	devpkg-enchant
enchant-lsmod	devpkg-compat-enchant-soname1
enchant-lsmod-2	devpkg-enchant
encode_keychange	performance-tools
endnote-format	perl-extras
env	os-core
env_parallel	parallel
env_parallel.ash	parallel
env_parallel.bash	parallel
env_parallel.dash	parallel
env_parallel.mksh	parallel
env_parallel.sh	parallel
envs	domotica
envsubst	kvm-host
eog	eog
eplain	texlive
epmd	openstack-common
eps2eps	desktop
epsffit	texlive
epspdf	texlive
epspdftk	texlive
epstopdf	texlive
eptex	texlive
epydoc	python-extras
epydocgui	python-extras
epylint	computer-vision-models
eqn	man-pages
eqn2graph	man-pages
era_check	storage-utils
era_dump	storage-utils
era_invalidate	storage-utils
era_restore	storage-utils
erb	ruby-basic
erl	openstack-common
erl_call	openstack-common
erlc	openstack-common
errno	os-testsuite-0day
escapesrc	devpkg-icu4c
escputil	desktop
escript	openstack-common
esdcompat	pulseaudio
espdiff	dev-utils
etags	vim
etex	texlive
ethtool	ethtool
eu-addr2line	package-utils
eu-ar	package-utils
eu-elfcmp	package-utils
eu-elfcompress	package-utils
eu-elflint	package-utils
eu-findtextrel	package-utils
eu-make-debug-archive	package-utils
eu-nm	package-utils
eu-objdump	package-utils
eu-ranlib	package-utils
eu-readelf	package-utils
eu-size	package-utils
eu-stack	package-utils
eu-strings	package-utils
eu-strip	package-utils
eu-unstrip	package-utils
euptex	texlive
evcd2vcd	gtkwave
event_rpcgen.py	memcached
eventlogadm	samba
evince	evince
evince-previewer	evince
evince-thumbnailer	evince
evolution	evolution
ex	vim
exceltex	texlive
execltp	ltp
exempi	desktop-dev
exifcomment	devpkg-exiv2
exifdata	devpkg-exiv2
exifdata-test	devpkg-exiv2
exifprint	devpkg-exiv2
exifvalue	devpkg-exiv2
exiv2	devpkg-exiv2
exiv2json	devpkg-exiv2
exo-csource	xfce4-desktop
exo-desktop-item-edit	xfce4-desktop
exo-open	xfce4-desktop
exo-preferred-applications	xfce4-desktop
expand	os-core
expect	tcl-basic
expiry	os-core
exportfs	nfs-utils
expr	os-core
exrenvmap	software-defined-cockpit-dev
exrheader	software-defined-cockpit-dev
exrmakepreview	software-defined-cockpit-dev
exrmaketiled	software-defined-cockpit-dev
exrmultipart	software-defined-cockpit-dev
exrmultiview	software-defined-cockpit-dev
exrstdattr	software-defined-cockpit-dev
extcheck	java-runtime
extconv	texlive
extend_dmalloc	desktop-kde-apps
extlinux	syslinux
extractattr	desktop-kde-apps
extractbb	texlive
extractrc	desktop-kde-apps
extractres	texlive
f-engrave	maker-cnc
f2fscrypt	os-testsuite-0day
f2fstat	os-testsuite-0day
f2py	jupyter
f2py3	jupyter
f2py3.7	jupyter
f95	c-basic
factor	os-core
faillog	os-core
faked	os-testsuite-0day
fakeroot	os-testsuite-0day
fallocate	os-core
false	os-core
fancontrol	lm-sensors
fast-import-filter	openstack-common
fast-import-info	openstack-common
fast-import-query	openstack-common
fatlabel	dosfstools
fax2ps	devpkg-tiff
fax2tiff	devpkg-tiff
fc-cache	devpkg-fontconfig
fc-cat	devpkg-fontconfig
fc-conflist	devpkg-fontconfig
fc-list	devpkg-fontconfig
fc-match	devpkg-fontconfig
fc-pattern	devpkg-fontconfig
fc-query	devpkg-fontconfig
fc-scan	devpkg-fontconfig
fc-validate	devpkg-fontconfig
fcal	amateur-radio
fcgistarter	httpd
fdisk	os-core
fdp	graphviz
fdtdump	dtc
fdtget	dtc
fdtoverlay	dtc
fdtput	dtc
feh	desktop-awesome
fetch_file	cloud-api
fetchmail	mail-utils
ffsb	ltp
fftw-wisdom	devpkg-fftw
fftw-wisdom-to-conf	devpkg-fftw
fftwf-wisdom	devpkg-fftw
fftwl-wisdom	devpkg-fftw
fgconsole	kbd
fgrep	os-core
fibmap.f2fs	os-testsuite-0day
fig4latex	texlive
filan	sysadmin-basic
file	file
file-roller	file-roller
filecap	devpkg-libcap-ng
filefrag	storage-utils
filelight	desktop-kde-apps
filterdiff	dev-utils
fincore	os-core
find	findutils
find-bundle.sh	os-core-search
findfs	os-core
findhyph	texlive
findmissingcrystal	desktop-kde-apps
findmnt	os-core
findrule	perl-extras
findsmb	samba
fio	fio
fio-btrace2fio	fio
fio-dedupe	fio
fio-genzipf	fio
fio-verify-state	fio
fio_generate_plots	fio
firecracker	containers-virt
firefox	firefox
fish	shells
fish_indent	shells
fish_key_reader	shells
fix-include.sh	desktop-kde-apps
fix-qdf	devpkg-qpdf
fixcvsdiff	dev-utils
fixkdeincludes	desktop-kde-apps
fixparts	storage-utils
fixproc	performance-tools
fixqt4headers.pl	editors-dev
fixuifiles	desktop-kde-apps
flac	flac
flake8	python-extras
flarq	amateur-radio
flash-var	os-clr-on-clr
flash_erase	mtd-utils
flash_eraseall	mtd-utils
flash_lock	mtd-utils
flash_otp_dump	mtd-utils
flash_otp_info	mtd-utils
flash_otp_lock	mtd-utils
flash_otp_write	mtd-utils
flash_unlock	mtd-utils
flashcp	mtd-utils
flask	openstack-common
flatpak	flatpak
flatpak-bisect	flatpak
flatpak-builder	flatpak
flatpak-coredumpctl	flatpak
fldigi	amateur-radio
flea	mutt
flex	flex
flex++	flex
flipdiff	dev-utils
flmsg	amateur-radio
flnet	amateur-radio
flock	os-core
flow	computer-vision-basic
fltk-config	software-defined-cockpit-dev
fluid	software-defined-cockpit-dev
fmeasure	amateur-radio
fmt	os-core
fmtave	amateur-radio
fmtutil	texlive
fmtutil-sys	texlive
fmtutil-user	texlive
fold	os-core
fontforge	fontforge
fontimage	fontforge
fontinst	texlive
fontlint	fontforge
fonttools	fonttools
foomatic-rip	hardware-printing
formail	mail-utils
fossil	fossil
fproduct	calc
fragmaster	texlive
free	os-core
freerdp-shadow-cli	pidgin
freetype-config	devpkg-freetype
freeze_graph	machine-learning-tensorflow
freshclam	clamav
fribidi	devpkg-fribidi
fsadm	boot-encrypted
fsc	big-data-basic
fsck	os-core
fsck.btrfs	os-core-update
fsck.cramfs	os-core
fsck.ext2	os-core
fsck.ext3	os-core
fsck.ext4	os-core
fsck.f2fs	os-testsuite-0day
fsck.fat	dosfstools
fsck.msdos	dosfstools
fsck.vfat	dosfstools
fsck.xfs	xfsprogs
fsfreeze	os-core
fst2vcd	gtkwave
fstminer	gtkwave
fstrim	os-core
fsview	konqueror
ft8code	amateur-radio
ftdi_eeprom	maker-basic
ftl_check	mtd-utils
ftl_format	mtd-utils
ftp-rfc	tcl-basic
function_grep.pl	wine
funzip	unzip
fuser	sysadmin-basic
fusermount	fuse
fusermount-glusterfs	storage-cluster
fusermount3	fuse
futurize	Sphinx
fwupdate	fwupdate
fwupdmgr	firmware-update
g++	c-basic
g-ir-annotation-tool	devpkg-gobject-introspection
g-ir-compiler	devpkg-gobject-introspection
g-ir-doc-tool	devpkg-gobject-introspection
g-ir-generate	devpkg-gobject-introspection
g-ir-inspect	devpkg-gobject-introspection
g-ir-scanner	devpkg-gobject-introspection
g-lensfun-update-data	desktop-dev
gacutil	mono
gacutil2	mono
gamma4scanimage	desktop-dev
gapplication	firmware-update
gawk	os-core
gawk-5.0.0	os-core
gbklatex	texlive
gbkpdflatex	texlive
gc	graphviz
gcab	devpkg-gcab
gcalccmd	gnome-calculator
gcc	c-basic
gcc-ar	c-basic
gcc-nm	c-basic
gcc-ranlib	c-basic
gcm-calibrate	gnome-color-manager
gcm-import	gnome-color-manager
gcm-inspect	gnome-color-manager
gcm-picker	gnome-color-manager
gcm-viewer	gnome-color-manager
gcompris-qt	education-preschool
gconf-merge-tree	devpkg-GConf
gconftool-2	devpkg-GConf
gcore	gdb
gcov	c-basic
gcov-dump	c-basic
gcov-tool	c-basic
gcov2perl	perl-extras
gcr-viewer	devpkg-gcr
gcron.py	storage-cluster
gcut	devpkg-gimp
gd2copypal	devpkg-libgd
gd2togif	devpkg-libgd
gd2topng	devpkg-libgd
gdal-config	python-extras
gdal_contour	python-extras
gdal_grid	python-extras
gdal_rasterize	python-extras
gdal_translate	python-extras
gdaladdo	python-extras
gdalbuildvrt	python-extras
gdaldem	python-extras
gdalenhance	python-extras
gdalinfo	python-extras
gdallocationinfo	python-extras
gdalmanage	python-extras
gdalserver	python-extras
gdalsrsinfo	python-extras
gdaltindex	python-extras
gdaltransform	python-extras
gdalwarp	python-extras
gdb	gdb
gdb-add-index	gdb
gdbm_dump	perl-basic-dev
gdbm_load	perl-basic-dev
gdbmtool	perl-basic-dev
gdbserver	gdb
gdbus	firmware-update
gdbus-codegen	firmware-update
gdcmpgif	devpkg-libgd
gdialog	games
gdiffmk	man-pages
gdisk	storage-utils
gdk-pixbuf-csource	firefox
gdk-pixbuf-pixdata	firefox
gdk-pixbuf-query-loaders	firefox
gdk-pixbuf-thumbnailer	firefox
gdlib-config	devpkg-libgd
gdm	desktop
gdm-screenshot	desktop
gdmflexiserver	desktop
gdparttopng	devpkg-libgd
gdtopng	devpkg-libgd
geany	geany
gedit	gedit
gegl	devpkg-gimp
gegl-imgcmp	devpkg-gimp
gem	ruby-basic
gen_binary_files	devpkg-libpinyin
gen_client	os-cloudguest-gce
gen_packets	amateur-radio
gen_unigram	devpkg-libpinyin
genbrk	devpkg-icu4c
gencat	os-core
genccode	devpkg-icu4c
gencfu	devpkg-icu4c
gencmn	devpkg-icu4c
gencnval	devpkg-icu4c
genconfig	service-os-dev
gendesc	dev-utils
gendict	devpkg-icu4c
gendiff	package-utils
genfio	fio
genhash	keepalived
genhtml	dev-utils
genhtml.pl	ltp
geninfo	dev-utils
genl	os-core
genl-ctrl-list	libnl
gennorm2	devpkg-icu4c
genpng	dev-utils
genrandom	network-basic
genrb	devpkg-icu4c
gensprep	devpkg-icu4c
gentest	samba
gentrigrams	kde-frameworks5
genxs	mono
geotag	devpkg-exiv2
get_device	openstack-common
get_driver	openstack-common
get_module	openstack-common
get_root_domain	perl-extras
getcap	sysadmin-basic
getconf	os-core
getdefs	c-basic
getent	os-core
getent.ldap	openstack-common
getfacl	acl
getfattr	devpkg-attr
gethostip	syslinux
getkeycodes	kbd
getmapdl	texlive
getopt	os-core
getpcaps	sysadmin-basic
gettext	kvm-host
gettext.sh	kvm-host
gettextize	kvm-host
gf_attach	storage-cluster
gfind_missing_files	storage-cluster
gflags2man.py	os-cloudguest-gce
gflags_completions.sh	devpkg-gflags
gfortran	c-basic
gftodvi	texlive
gftopk	texlive
gftp	gftp
gftp-gtk	gftp
gftp-text	gftp
gftype	texlive
ghwdump	gtkwave
gif2h5	machine-learning-basic
giftogd2	devpkg-libgd
gimp	gimp
gimp-2.10	gimp
gimp-console	gimp
gimp-console-2.10	gimp
gimp-test-clipboard-2.0	gimp
gimptool-2.0	gimp
gio	firmware-update
gio-launch-desktop	firmware-update
gio-querymodules	firmware-update
git	git
git-clang-format	llvm
git-cvsserver	dev-utils
git-hub	git
git-icdiff	icdiff
git-receive-pack	git
git-shell	git
git-upload-archive	git
git-upload-pack	git
gitg	dev-utils-gui
gitk	dev-utils-gui
gitolite	scm-server
gjs	gjs
gjs-console	gnome-weather
gkbd-keyboard-display	devpkg-libgnomekbd
glacier	cloud-api
glance	openstack-common
glance-api	openstack-common
glance-cache-cleaner	openstack-common
glance-cache-manage	openstack-common
glance-cache-prefetcher	openstack-common
glance-cache-pruner	openstack-common
glance-control	openstack-common
glance-manage	openstack-common
glance-registry	openstack-common
glance-replicator	openstack-common
glance-rootwrap	openstack-common
glance-scrubber	openstack-common
glance-wsgi-api	openstack-common
glances	performance-tools
glfsheal	storage-cluster
glib-compile-resources	firmware-update
glib-compile-schemas	firmware-update
glib-genmarshal	firmware-update
glib-gettextize	firmware-update
glib-mkenums	firmware-update
glilypond	man-pages
glinfo	os-testsuite-phoronix-desktop
glmark2	glmark2
glmark2-drm	glmark2
glmark2-es2	glmark2
glmark2-es2-drm	glmark2
glmark2-es2-wayland	glmark2
glmark2-wayland	glmark2
global	global
globash	global
glslangValidator	developer-gpu
glsync	os-testsuite-phoronix-desktop
gluster	storage-cluster
gluster-eventsapi	storage-cluster
gluster-georep-sshkey	storage-cluster
gluster-mountbroker	storage-cluster
gluster-setgfid2path	storage-cluster
glusterd	storage-cluster
glustereventsd	storage-cluster
glusterfind	storage-cluster
glusterfs	storage-cluster
glusterfsd	storage-cluster
glxgears	os-testsuite-phoronix-desktop
glxinfo	os-testsuite-phoronix-desktop
gmake	make
gmenudbusmenuproxy	desktop-kde
gmic	desktop-apps-extras
gml2gv	graphviz
gnmanalyse	python-extras
gnmmanage	python-extras
gnome-autogen.sh	desktop-dev
gnome-calculator	gnome-calculator
gnome-calendar	desktop
gnome-characters	gnome-characters
gnome-control-center	desktop
gnome-desktop-item-edit	desktop
gnome-disk-image-mounter	gnome-disk-utility
gnome-disks	gnome-disk-utility
gnome-flashback	desktop
gnome-font-viewer	gnome-font-viewer
gnome-help	desktop
gnome-keyring	desktop
gnome-keyring-3	desktop
gnome-keyring-daemon	desktop
gnome-logs	gnome-logs
gnome-music	gnome-music
gnome-panel	desktop
gnome-photos	gnome-photos
gnome-screenshot	gnome-screenshot
gnome-session	desktop
gnome-session-custom-session	desktop
gnome-session-inhibit	desktop
gnome-session-quit	desktop
gnome-session-remmina	Remmina
gnome-shell	desktop
gnome-shell-extension-prefs	desktop
gnome-shell-extension-tool	desktop
gnome-shell-perf-tool	desktop
gnome-software	desktop
gnome-software-editor	desktop
gnome-system-monitor	gnome-system-monitor
gnome-terminal	desktop
gnome-thumbnail-font	gnome-font-viewer
gnome-todo	gnome-todo
gnome-tweaks	education
gnome-weather	gnome-weather
gnuplot	gnuplot
gnutls-cli	cryptography
gnutls-cli-debug	cryptography
gnutls-serv	cryptography
go	go-basic
go-md2man	containers-basic-dev
goaccess	goaccess
gobject-query	firmware-update
gofmt	go-basic
google_accounts_daemon	os-cloudguest-gce
google_clock_skew_daemon	os-cloudguest-gce
google_instance_setup	os-cloudguest-gce
google_metadata_script_runner	os-cloudguest-gce
google_network_daemon	os-cloudguest-gce
google_optimize_local_ssd	os-cloudguest-gce
google_set_multiqueue	os-cloudguest-gce
gozilla	global
gparted	gparted
gpartedbin	gparted
gpasswd	os-core
gperf	performance-tools
gperl	man-pages
gpg	cryptography
gpg-agent	cryptography
gpg-connect-agent	cryptography
gpg-error	devpkg-libgpg-error
gpg-error-config	devpkg-libgpg-error
gpg-wks-server	cryptography
gpg2	cryptography
gpgconf	cryptography
gpgme-config	gpgme
gpgme-json	gpgme
gpgme-tool	gpgme
gpgparsemail	cryptography
gpgrt-config	devpkg-libgpg-error
gpgscm	cryptography
gpgsm	cryptography
gpgtar	cryptography
gpgv	cryptography
gphoto2	gphoto2
gphoto2-config	devpkg-libgphoto2
gphoto2-port-config	devpkg-libgphoto2
gpinyin	man-pages
gpredict	amateur-radio
gprof	binutils
gr2fonttest	devpkg-graphite
gradle	java-basic
granatier	desktop-kde-games
grantlee_strings_extractor.py	desktop-kde-apps
grap2graph	man-pages
graphml2gv	graphviz
gregorio	texlive
grep	os-core
grepdiff	dev-utils
gresource	firmware-update
grid	desktop-apps
grig	amateur-radio
grilo-test-ui-0.3	totem
grl-inspect-0.3	totem
grl-launch-0.3	totem
grn	man-pages
grodvi	man-pages
groff	man-pages
groffer	man-pages
grog	man-pages
grolbp	man-pages
grolj4	man-pages
gropdf	man-pages
grops	man-pages
grotty	man-pages
groupadd	os-core
groupdel	os-core
groupmems	os-core
groupmod	os-core
groups	os-core
grpck	os-core
grpconv	os-core
grpunconv	os-core
grub-bios-setup	pxe-server
grub-editenv	pxe-server
grub-file	pxe-server
grub-fstest	pxe-server
grub-glue-efi	pxe-server
grub-install	pxe-server
grub-kbdcomp	pxe-server
grub-macbless	pxe-server
grub-menulst2cfg	pxe-server
grub-mkconfig	pxe-server
grub-mkimage	pxe-server
grub-mklayout	pxe-server
grub-mknetdir	pxe-server
grub-mkpasswd-pbkdf2	pxe-server
grub-mkrelpath	pxe-server
grub-mkrescue	pxe-server
grub-mkstandalone	pxe-server
grub-ofpathname	pxe-server
grub-probe	pxe-server
grub-reboot	pxe-server
grub-render-label	pxe-server
grub-script-check	pxe-server
grub-set-default	pxe-server
grub-sparc64-setup	pxe-server
grub-syslinux2cfg	pxe-server
gs	desktop
gsbj	desktop
gsc	desktop
gsdj	desktop
gsdj500	desktop
gsettings	firmware-update
gsettings-data-convert	devpkg-GConf
gsettings-schema-convert	devpkg-GConf
gsftopk	texlive
gsl-config	devpkg-gsl
gsl-histogram	devpkg-gsl
gsl-randist	devpkg-gsl
gslj	desktop
gslp	desktop
gsnd	desktop
gspell-app1	devpkg-gspell
gss-client	enterprise-login
gss-server	enterprise-login
gst-device-monitor-1.0	gstreamer
gst-discoverer-1.0	gstreamer
gst-inspect-1.0	gstreamer
gst-launch-1.0	gstreamer
gst-play-1.0	gstreamer
gst-stats-1.0	gstreamer
gst-typefind-1.0	gstreamer
gsutil	os-cloudguest-gce
gsx	desktop
gtags	global
gtags-cscope	global
gtester	firmware-update
gtester-report	firmware-update
gtf	x11-server
gtk-builder-tool	firefox
gtk-demo	devpkg-gtkplus
gtk-encode-symbolic-svg	firefox
gtk-launch	firefox
gtk-query-immodules-2.0	devpkg-gtkplus
gtk-query-immodules-3.0	firefox
gtk-query-settings	firefox
gtk-update-icon-cache	firefox
gtk3-demo	firefox
gtk3-demo-application	firefox
gtk3-icon-browser	firefox
gtk3-widget-factory	firefox
gtkdoc-check	devpkg-gtk-doc
gtkdoc-depscan	devpkg-gtk-doc
gtkdoc-fixxref	devpkg-gtk-doc
gtkdoc-mkdb	devpkg-gtk-doc
gtkdoc-mkhtml	devpkg-gtk-doc
gtkdoc-mkhtml2	devpkg-gtk-doc
gtkdoc-mkman	devpkg-gtk-doc
gtkdoc-mkpdf	devpkg-gtk-doc
gtkdoc-rebase	devpkg-gtk-doc
gtkdoc-scan	devpkg-gtk-doc
gtkdoc-scangobj	devpkg-gtk-doc
gtkdocize	devpkg-gtk-doc
gtkwave	gtkwave
guards	dev-utils
guild	c-basic
guile	c-basic
guile-config	c-basic
guile-snarf	c-basic
guile-tools	c-basic
gunicorn_pecan	ceph
gunzip	gzip
gusbcmd	devpkg-libgusb
gv2gml	graphviz
gv2gxl	graphviz
gvcolor	graphviz
gvgen	graphviz
gview	gvim
gvim	gvim
gvimdiff	gvim
gvimtutor	gvim
gvmap	graphviz
gvmap.sh	graphviz
gvnccapture	gtk-vnc
gvpack	graphviz
gvpr	graphviz
gwenview	gwenview
gwenview_importer	gwenview
gxl2dot	graphviz
gxl2gv	graphviz
gzexe	gzip
gzip	sysadmin-basic
h264encode	libva-utils
h2ph	perl-basic
h2xs	perl-basic
h52gif	machine-learning-basic
h5c++	machine-learning-basic
h5cc	machine-learning-basic
h5clear	machine-learning-basic
h5copy	machine-learning-basic
h5debug	machine-learning-basic
h5diff	machine-learning-basic
h5dump	machine-learning-basic
h5fc	machine-learning-basic
h5format_convert	machine-learning-basic
h5import	machine-learning-basic
h5jam	machine-learning-basic
h5ls	machine-learning-basic
h5mkgrp	machine-learning-basic
h5perf_serial	machine-learning-basic
h5redeploy	machine-learning-basic
h5repack	machine-learning-basic
h5repart	machine-learning-basic
h5stat	machine-learning-basic
h5unjam	machine-learning-basic
h5watch	machine-learning-basic
hackbench	dev-utils
hadoop	big-data-basic
hadoop-daemon.sh	big-data-basic
hadoop-daemons.sh	big-data-basic
hadoop-rcc	big-data-basic
half_mt	devpkg-LibRaw
halog	openstack-common
halt	os-core
handy-0.0-demo	desktop-dev
haproxy	openstack-common
hardlink	mixer
hash-to-efi-sig-list	os-clr-on-clr
hashstats	duperemove
hass	domotica
haswell	flac
hb-ot-shape-closure	fonts-basic
hb-shape	fonts-basic
hb-subset	fonts-basic
hb-view	fonts-basic
hbf2gf	texlive
hciattach	hardware-bluetooth
hciconfig	hardware-bluetooth
hcidump	hardware-bluetooth
hcitool	hardware-bluetooth
hdfs	big-data-basic
hdfs-config.sh	big-data-basic
hdparm	sysadmin-basic
head	os-core
hello_autoresize_classification	computer-vision-basic
hello_classification	computer-vision-basic
hello_request_classification	computer-vision-basic
helm	cloud-native-basic
help2man	dev-utils-dev
hevcencode	libva-utils
hex2bin.py	python-extras
hex2dump.py	python-extras
hex2hcd	hardware-bluetooth
hexchat	hexchat
hexdiff.py	python-extras
hexdump	os-core
hexinfo.py	python-extras
hexmerge.py	python-extras
hg	mercurial
hg-ssh	mercurial
hmac256	os-core-dev
hmaptool	llvm
host	network-basic
hostid	os-core
hostname	os-core
hostnamectl	os-core
hotshot2calltree	kcachegrind
hp-align	hardware-printing
hp-check	hardware-printing
hp-clean	hardware-printing
hp-colorcal	hardware-printing
hp-config_usb_printer	hardware-printing
hp-devicesettings	hardware-printing
hp-diagnose_plugin	hardware-printing
hp-diagnose_queues	hardware-printing
hp-doctor	hardware-printing
hp-fab	hardware-printing
hp-faxsetup	hardware-printing
hp-firmware	hardware-printing
hp-info	hardware-printing
hp-levels	hardware-printing
hp-linefeedcal	hardware-printing
hp-logcapture	hardware-printing
hp-makecopies	hardware-printing
hp-makeuri	hardware-printing
hp-pkservice	hardware-printing
hp-plugin	hardware-printing
hp-pqdiag	hardware-printing
hp-print	hardware-printing
hp-printsettings	hardware-printing
hp-probe	hardware-printing
hp-query	hardware-printing
hp-scan	hardware-printing
hp-sendfax	hardware-printing
hp-setup	hardware-printing
hp-systray	hardware-printing
hp-testpage	hardware-printing
hp-timedate	hardware-printing
hp-toolbox	hardware-printing
hp-uninstall	hardware-printing
hp-unload	hardware-printing
hp-upgrade	hardware-printing
hp-wificonfig	hardware-printing
hpftodit	man-pages
hprobe	devpkg-telemetrics-client
hpsa_lsmplugin	sysadmin-remote
ht	texlive
htags	global
htags-server	global
htcacheclean	httpd
htcontext	texlive
htdbm	httpd
htdigest	httpd
htlatex	texlive
htmex	texlive
html_report_header.txt	ltp
htmlclean	perl-extras
htop	htop
htpasswd	httpd
httex	texlive
httexi	texlive
httpcfg	mono
httpd	httpd
httpd.prefork	httpd
httpd.worker	httpd
httpfs.sh	big-data-basic
httxt2dbm	httpd
htxelatex	texlive
htxetex	texlive
hub	git
hugo	hugo
hunspell	kde-frameworks5-dev
hunzip	kde-frameworks5-dev
hv_fcopy_daemon	os-cloudguest-azure
hv_kvp_daemon	os-cloudguest-azure
hv_vss_daemon	os-cloudguest-azure
hwclock	os-core
hwinfo	performance-tools
hwloc-annotate	hwloc
hwloc-bind	hwloc
hwloc-calc	hwloc
hwloc-compress-dir	hwloc
hwloc-diff	hwloc
hwloc-distrib	hwloc
hwloc-dump-hwdata	hwloc
hwloc-gather-cpuid	hwloc
hwloc-gather-topology	hwloc
hwloc-info	hwloc
hwloc-ls	hwloc
hwloc-patch	hwloc
hwloc-ps	hwloc
hwstamp_ctl	time-server-basic
hypnotoad	perl-extras
hzip	kde-frameworks5-dev
i2c-stub-from-dump	os-testsuite-0day
i2cdetect	os-testsuite-0day
i2cdump	os-testsuite-0day
i2cget	os-testsuite-0day
i2cset	os-testsuite-0day
i2ctransfer	os-testsuite-0day
i3	desktop-i3
i3-config-wizard	desktop-i3
i3-dmenu-desktop	desktop-i3
i3-dump-log	desktop-i3
i3-input	desktop-i3
i3-migrate-config-to-v4	desktop-i3
i3-msg	desktop-i3
i3-nagbar	desktop-i3
i3-save-tree	desktop-i3
i3-sensible-editor	desktop-i3
i3-sensible-pager	desktop-i3
i3-sensible-terminal	desktop-i3
i3-with-shmlog	desktop-i3
i386	os-core
i3bar	desktop-i3
i3lock	desktop-i3
i3status	desktop-i3
ias-setup	software-defined-cockpit
ias-weston	software-defined-cockpit
ias-weston-launch	software-defined-cockpit
iasimage	iasimage
iasl	acpica-unix2
ib_acme	storage-utils
ib_atomic_bw	hpc-utils
ib_atomic_lat	hpc-utils
ib_read_bw	hpc-utils
ib_read_lat	hpc-utils
ib_send_bw	hpc-utils
ib_send_lat	hpc-utils
ib_write_bw	hpc-utils
ib_write_lat	hpc-utils
ibacm	storage-utils
ibaddr	hpc-utils
ibcacheedit	hpc-utils
ibccconfig	hpc-utils
ibccquery	hpc-utils
ibfindnodesusing.pl	hpc-utils
ibhosts	hpc-utils
ibidsverify.pl	hpc-utils
iblinkinfo	hpc-utils
ibnetdiscover	hpc-utils
ibnodes	hpc-utils
ibping	hpc-utils
ibportstate	hpc-utils
ibqueryerrors	hpc-utils
ibroute	hpc-utils
ibrouters	hpc-utils
ibsrpdm	storage-utils
ibstat	hpc-utils
ibstatus	hpc-utils
ibswitches	hpc-utils
ibsysstat	hpc-utils
ibtracert	hpc-utils
ibus	desktop
ibus-daemon	desktop
ibus-setup	desktop
ibv_asyncwatch	storage-utils
ibv_devices	storage-utils
ibv_devinfo	storage-utils
ibv_rc_pingpong	storage-utils
ibv_srq_pingpong	storage-utils
ibv_uc_pingpong	storage-utils
ibv_ud_pingpong	storage-utils
ibv_xsrq_pingpong	storage-utils
icalendar	productivity
